,APN,Registered Date,Property Type,Property Zip
442,4007006013,1/30/14,Single Family,90043.0
443,2346018004,1/31/14,Single Family,91607.0
444,5510022019,3/5/14,Single Family,90048.0
445,2359022001,9/11/14,Single Family,91423.0
446,5302003135,1/17/14,Single Family,90042.0
447,5528003143,1/30/14,Single Family,90069.0
448,4264024019,1/10/14,Single Family,90049.0
449,6058003021,3/26/14,Single Family,90047.0
450,5405004003,11/25/14,Single Family,90026.0
451,5301012005,3/17/14,Single Family,90042.0
452,5587018012,1/31/14,Single Family,90068.0
453,5104014007,9/5/14,Multi-Family,90011.0
454,5534021019,2/12/14,Single Family,90038.0
455,2671009005,10/16/14,Single Family,91343.0
456,2553018008,7/7/14,Single Family,91042.0
457,5048019016,11/25/14,Multi-Family,90016.0
458,4218014020,4/11/14,Single Family,90230.0
459,5177020013,8/18/14,Multi-Family,90033.0
460,2692024013,11/11/14,Single Family,91325.0
461,6038011018,12/8/14,Multi-Family,90044.0
462,5104007018,7/9/14,Single Family,90011.0
463,5019005015,11/26/14,Multi-Family,90037.0
464,5155012058,11/19/14,Single Family,90064.0
465,2130026016,4/9/14,Single Family,91335.0
466,2503008008,7/9/14,Single Family,91342.0
467,5015039021,7/29/14,Single Family,90043.0
468,2654030006,5/8/14,Single Family,91343.0
469,5084029017,2/3/14,Multi-Family,90019.0
470,2690006014,11/25/14,Single Family,91325.0
471,2101019001,1/14/14,Single Family,91325.0
472,2404028020,12/23/14,Single Family,91352.0
473,2423017008,12/16/14,Single Family,91602.0
474,6049013003,2/21/14,Single Family,90002.0
475,2034023033,6/9/14,Single Family,91307.0
476,5057011014,12/4/14,Single Family,90016.0
477,5021002013,1/30/14,Single Family,90062.0
478,2130015001,6/9/14,Single Family,91335.0
479,5116006030,11/25/14,Multi-Family,90011.0
480,5014026007,1/2/14,Single Family,90043.0
481,4230012020,1/17/14,Single Family,90066.0
482,5206020042,8/20/14,Single Family,90031.0
483,6050024026,2/9/14,Single Family,90002.0
484,7445019082,8/8/14,Single Family,90732.0
485,4415018117,1/17/14,Single Family,90272.0
486,4112030004,10/29/14,Single Family,90045.0
487,6051023025,2/3/14,Single Family,90002.0
488,4239004004,11/6/14,Multi-Family,90291.0
489,2269003015,11/25/14,Single Family,91423.0
490,5041027027,6/16/14,Single Family,90018.0
491,2768024011,11/6/14,Single Family,91325.0
492,2701043004,8/20/14,Single Family,91326.0
493,4369037003,5/12/14,Single Family,90077.0
494,6073020014,11/6/14,Single Family,90061.0
495,2651013028,4/9/14,Single Family,91402.0
496,7559008015,5/29/14,Single Family,90732.0
497,5462013080,10/31/14,Single Family,90065.0
498,5083014018,2/3/14,Multi-Family,90019.0
499,5682014016,5/9/14,Single Family,90041.0
500,5478017050,1/20/14,Single Family,90042.0
501,2656023104,7/24/14,Single Family,91343.0
502,2368002067,7/15/14,Single Family,91604.0
503,7562024015,7/3/14,Single Family,90732.0
504,2608015009,10/25/14,Single Family,91344.0
505,2004012024,2/3/14,Single Family,93063.0
506,5432030008,2/11/14,Single Family,90039.0
507,2656027043,7/23/14,Single Family,91343.0
508,5043015021,1/6/14,Multi-Family,90016.0
509,2511017076,6/13/14,Single Family,91342.0
510,2672019013,6/27/14,Single Family,91343.0
511,2231010032,1/2/14,Single Family,91406.0
512,5114034003,1/6/14,Multi-Family,90011.0
513,6033001023,3/7/14,Single Family,90044.0
514,6014034024,1/16/14,Single Family,90044.0
515,5551009014,3/27/14,Single Family,90046.0
516,2153028032,12/18/14,Single Family,91356.0
517,5175018016,11/25/14,Multi-Family,90033.0
518,2701052061,10/27/14,Single Family,91326.0
519,2156029218,12/1/14,Single Family,91356.0
520,2325020009,11/25/14,Single Family,91606.0
521,6038010034,1/30/14,Multi-Family,90044.0
522,2633019020,6/9/14,Single Family,91352.0
523,2619016066,11/17/14,Single Family,91331.0
524,4241008006,9/24/14,Single Family,90291.0
525,6088024011,9/24/14,Single Family,90044.0
526,2365022030,5/16/14,Single Family,91604.0
527,6011003013,3/28/14,Multi-Family,90003.0
528,5148001011,1/2/14,Non-Residential,90013.0
529,2106011063,10/21/14,Single Family,91306.0
530,2212005006,12/18/14,Single Family,91402.0
531,2656013035,6/9/14,Single Family,91343.0
532,2870021028,1/15/14,Single Family,91326.0
533,2747021078,9/12/14,Single Family,91311.0
534,2650034028,9/11/14,Single Family,91343.0
535,4251017018,5/29/14,Single Family,90034.0
536,6057019039,1/3/14,Single Family,90047.0
537,6023009007,2/9/14,Single Family,90001.0
538,5020013019,11/25/14,Multi-Family,90037.0
539,5590024008,12/9/14,Multi-Family,90027.0
540,7415005027,4/2/14,Single Family,90744.0
541,5057001010,3/7/14,Single Family,90016.0
542,5149002119,2/3/14,Single Family,90013.0
543,5107022018,3/6/14,Multi-Family,90011.0
544,5186002045,1/16/14,Multi-Family,90063.0
545,4411004012,4/10/14,Single Family,90272.0
546,2511006002,8/26/14,Single Family,91342.0
547,5002024018,4/24/14,Single Family,90037.0
548,2601067013,10/8/14,Single Family,91344.0
549,5464009020,11/5/14,Single Family,90065.0
550,5492017018,3/12/14,Multi-Family,90042.0
551,6020034002,1/24/14,Single Family,90003.0
552,5583013014,1/16/14,Single Family,90068.0
553,4248018031,10/24/14,Single Family,90066.0
554,6022003002,2/3/14,Single Family,90003.0
555,2870018030,12/8/14,Single Family,91326.0
556,4363007189,11/11/14,Single Family,90024.0
557,5585010028,1/31/14,Single Family,90068.0
558,4360029005,10/1/14,Single Family,90024.0
559,5063007082,6/11/14,Multi-Family,90016.0
560,4313014056,9/30/14,Single Family,90034.0
561,5689007017,2/5/14,Single Family,90041.0
562,5128023015,1/29/14,Multi-Family,90011.0
563,6052028006,1/7/14,Single Family,90003.0
564,5305018005,1/29/14,Single Family,90032.0
565,2623027011,8/20/14,Single Family,91331.0
566,5179008031,5/5/14,Multi-Family,90063.0
567,6052018022,6/26/14,Single Family,90003.0
568,5051013026,2/3/14,Single Family,90018.0
569,6084013011,4/29/14,Single Family,90059.0
570,5034014017,1/15/14,Single Family,90008.0
571,6075033008,1/3/14,Single Family,90061.0
572,2502023039,12/10/14,Single Family,91342.0
573,5022018010,6/11/14,Single Family,90008.0
574,2039021034,5/14/14,Single Family,91367.0
575,5551012012,11/26/14,Single Family,90046.0
576,2171022062,8/20/14,Single Family,91364.0
577,4004004024,11/22/14,Multi-Family,90043.0
578,4401002068,11/11/14,Single Family,90049.0
579,5558010019,2/3/14,Single Family,90069.0
580,7442018003,12/4/14,Single Family,90731.0
581,7417014004,12/23/14,Single Family,90744.0
582,5442026025,1/15/14,Multi-Family,90039.0
583,7439001115,8/25/14,Single Family,90710.0
584,6084025009,3/7/14,Single Family,90059.0
585,5306012013,12/30/14,Single Family,90032.0
586,5047013038,1/30/14,Single Family,90016.0
587,4301022034,10/10/14,Single Family,90034.0
588,4356007044,10/27/14,Single Family,90210.0
589,4303026026,12/8/14,Single Family,90035.0
590,2322021011,1/20/14,Single Family,91606.0
591,2504001025,3/10/14,Single Family,91342.0
592,5116010012,3/13/14,Multi-Family,90011.0
593,5216026026,7/24/14,Non-Residential,90032.0
